站点,lon,lat,所属线路,所属区划
枫桥路,121.40675186144541,31.24368035660439,11号线(嘉定北-迪士尼),普陀区
隆德路,121.41893682048006,31.232350230037127,11号线(嘉定北-迪士尼),普陀区
祁连山南路,121.36265179254005,31.239488089279213,13号线,普陀区
真北路,121.37730449021252,31.234090391506424,13号线,普陀区
大渡河路,121.38978093462099,31.233589949672307,13号线,普陀区
武宁路,121.42587366381487,31.236191687737,13号线,普陀区
江宁路,121.44022546590188,31.24614271720219,13号线,普陀区
西渡,121.42783488663484,30.99133044641285,5号线(莘庄-奉贤新城),奉贤区
萧塘,121.43727016616613,30.9678950017416,5号线(莘庄-奉贤新城),奉贤区
奉浦大道,121.44441506256744,30.94408818461089,5号线(莘庄-奉贤新城),奉贤区
环城东路,121.45867397062052,30.93323739531269,5号线(莘庄-奉贤新城),奉贤区
望园路,121.47911564606069,30.934062142343503,5号线(莘庄-奉贤新城),奉贤区
金海湖,121.48807333080148,30.93095491930278,5号线(莘庄-奉贤新城),奉贤区
奉贤新城,121.49187214118166,30.916085985835892,5号线(莘庄-奉贤新城),奉贤区
鞍山新村,121.50528504811035,31.275257798332344,8号线,杨浦区
江浦路,121.51400962279921,31.27698696009956,8号线,杨浦区
黄兴路,121.52406512752249,31.280882048025703,8号线,杨浦区
延吉中路,121.53062507204662,31.290624771807536,8号线,杨浦区
黄兴公园,121.52906166137676,31.297463887758397,8号线,杨浦区
翔殷路,121.5276474182383,31.307069322495607,8号线,杨浦区
嫩江路,121.52762653065321,31.31686751864277,8号线,杨浦区
市光路,121.52760479790886,31.324784509105143,8号线,杨浦区
新江湾城,121.50253653517444,31.33048190126156,10号线(新江湾城-虹桥火车站),杨浦区
殷高东路,121.50238255229874,31.3237558975121,10号线(新江湾城-虹桥火车站),杨浦区
三门路,121.50393183167431,31.31520974910241,10号线(新江湾城-虹桥火车站),杨浦区
江湾体育场,121.50892435390087,31.306307094784238,10号线(新江湾城-虹桥火车站),杨浦区
五角场,121.51024754617409,31.300063471875358,10号线(新江湾城-虹桥火车站),杨浦区
国权路,121.50562390265414,31.29128619614827,10号线(新江湾城-虹桥火车站),杨浦区
同济大学,121.5019443378182,31.28408808832461,10号线(新江湾城-虹桥火车站),杨浦区
江浦公园,121.51934671194228,31.266630794884982,12号线,杨浦区
宁国路,121.52802967381956,31.27065717319283,12号线,杨浦区
隆昌路,121.54040565008066,31.277324685209305,12号线,杨浦区
爱国路,121.54838888879291,31.28191556742938,12号线,杨浦区
复兴岛,121.557068174421,31.282922946905533,12号线,杨浦区
九亭,121.31490762066534,31.139250751786502,9号线,松江区
泗泾,121.25582715303995,31.120350695282887,9号线,松江区
佘山,121.22526459506793,31.106173196616965,9号线,松江区
洞泾,121.22605381314443,31.086579836712538,9号线,松江区
松江大学城,121.22816177120701,31.056090957022963,9号线,松江区
松江新城,121.22632455962533,31.03241417733373,9号线,松江区
松江体育中心,121.22609059413573,31.01816531448577,9号线,松江区
醉白池,121.22494801892626,31.00326007831757,9号线,松江区
松江南站,121.22647347952764,30.986964037894978,9号线,松江区
嘉定北,121.23290867718731,31.393505281243463,11号线(嘉定北-迪士尼),嘉定区
嘉定西,121.22340904636852,31.37906008012435,11号线(嘉定北-迪士尼),嘉定区
白银路,121.24091460180277,31.347333650838266,11号线(嘉定北-迪士尼),嘉定区
嘉定新城,121.2498588459848,31.3320434497082,11号线(嘉定北-迪士尼),嘉定区
马陆,121.27245389060378,31.321650493023228,11号线(嘉定北-迪士尼),嘉定区
陈翔公路,121.30222084743704,31.308515136304866,11号线(嘉定北-迪士尼),嘉定区
南翔,121.31860351573091,31.29886864851408,11号线(嘉定北-迪士尼),嘉定区
上海赛车场,121.22165441128584,31.333864355099312,11号线(花桥-迪士尼),嘉定区
昌吉东路,121.19590968312609,31.29556570187133,11号线(花桥-迪士尼),嘉定区
上海汽车城,121.17623137974807,31.287316706285605,11号线(花桥-迪士尼),嘉定区
安亭,121.157435988454,31.290367433930694,11号线(花桥-迪士尼),嘉定区
金运路,121.31478399739449,31.242933536045307,13号线,嘉定区
金沙江西路,121.3305960189288,31.243069499387477,13号线,嘉定区
丰庄,121.35053860576626,31.244433162280988,13号线,嘉定区
