地铁线,区,点编号,地铁点,纬度,经度,边的起点编号,边的终点编号,起点纬度,起点经度,终点纬度,终点经度,,,,
6,浦东新区,26,上南路,31.1491539,121.5063767,150,150,31.1491539,121.5063767,31.14872174,121.4952319,31.14893782,121.5008043,-0.00021608,-0.0055724
6,浦东新区,27,灵岩南路,31.14872174,121.4952319,151,151,31.14872174,121.4952319,31.15356324,121.4805833,31.15114249,121.4879076,0.00242075,-0.0073243
6,浦东新区,28,东方体育中心,31.15356324,121.4805833,152,152,31.15356324,121.4805833,31.15356324,121.4805833,31.15356324,121.4805833,0,0
7,浦东新区,1,花木路,31.21121427,121.5628017,153,153,31.21121427,121.5628017,31.20282889,121.5575192,31.20702158,121.5601605,-0.00419269,-0.00264125
7,浦东新区,2,龙阳路,31.20282889,121.5575192,154,154,31.20282889,121.5575192,31.19306751,121.5501086,31.1979482,121.5538139,-0.00488069,-0.0037053
7,浦东新区,3,芳华路,31.19306751,121.5501086,155,155,31.19306751,121.5501086,31.18741214,121.5401318,31.19023983,121.5451202,-0.002827685,-0.0049884
7,浦东新区,4,锦绣路,31.18741214,121.5401318,156,156,31.18741214,121.5401318,31.18746782,121.5253782,31.18743998,121.532755,2.784E-05,-0.0073768
7,浦东新区,5,杨高南路,31.18746782,121.5253782,157,157,31.18746782,121.5253782,31.18568204,121.5100044,31.18657493,121.5176913,-0.00089289,-0.0076869
7,浦东新区,6,高科西路,31.18568204,121.5100044,158,158,31.18568204,121.5100044,31.18215627,121.5003603,31.18391916,121.5051824,-0.001762885,-0.00482205
7,浦东新区,7,云台路,31.18215627,121.5003603,159,159,31.18215627,121.5003603,31.17853222,121.4945949,31.18034425,121.4974776,-0.001812025,-0.0028827
7,浦东新区,8,耀华路,31.17853222,121.4945949,160,160,31.17853222,121.4945949,31.17459207,121.4860976,31.17656215,121.4903463,-0.001970075,-0.00424865
7,浦东新区,9,长清路,31.17459207,121.4860976,161,161,31.17459207,121.4860976,31.17193704,121.4737301,31.17326456,121.4799139,-0.001327515,-0.00618375
7,浦东新区,10,后滩,31.17193704,121.4737301,162,162,31.17193704,121.4737301,31.18444219,121.4568737,31.17818962,121.4653019,0.006252575,-0.0084282
7,徐汇区,11,龙华中路,31.18444219,121.4568737,333,333,31.18444219,121.4568737,31.1910467,121.4547199,31.18774445,121.4557968,0.003302255,-0.0010769
7,徐汇区,12,东安路,31.1910467,121.4547199,164,164,31.1910467,121.4547199,31.19921507,121.4501452,31.19513089,121.4524326,0.004084185,-0.00228735
7,徐汇区,13,肇嘉浜路,31.19921507,121.4501452,165,165,31.19921507,121.4501452,31.21360199,121.4502166,31.20640853,121.4501809,0.00719346,3.57E-05
7,徐汇区,14,常熟路,31.21360199,121.4502166,166,166,31.21360199,121.4502166,31.22315888,121.4476528,31.21838044,121.4489347,0.004778445,-0.0012819
7,静安区,15,静安寺,31.22315888,121.4476528,167,167,31.22315888,121.4476528,31.23380747,121.4426117,31.22848318,121.4451323,0.005324295,-0.00252055
7,静安区,16,昌平路,31.23380747,121.4426117,168,168,31.23380747,121.4426117,31.24036936,121.4383441,31.23708842,121.4404779,0.003280945,-0.0021338
7,普陀区,17,长寿路,31.24036936,121.4383441,169,169,31.24036936,121.4383441,31.24647436,121.4304401,31.24342186,121.4343921,0.0030525,-0.003952
7,普陀区,18,镇坪路,31.24647436,121.4304401,170,170,31.24647436,121.4304401,31.25633157,121.4218972,31.25140297,121.4261687,0.004928605,-0.00427145
7,普陀区,19,岚皋路,31.25633157,121.4218972,171,171,31.25633157,121.4218972,31.26390395,121.4226003,31.26011776,121.4222488,0.00378619,0.00035155
